time,SSCxs_mg_per_liter,SSCpt_mg_per_liter,Site_number
29-Feb-2000 11:00:00,750.270299158173,891.427940932144,120001A
29-Feb-2000 12:00:00,748.460380363234,888.632706112642,120001A
29-Feb-2000 13:00:00,744.113547039186,882.965020484425,120001A
29-Feb-2000 14:00:00,745.151279566825,883.566693161309,120001A
29-Feb-2000 15:00:00,747.113395244422,885.396285102208,120001A
29-Feb-2000 16:00:00,744.100264515819,881.591859734611,120001A
29-Feb-2000 17:00:00,740.681995965551,877.285280059857,120001A
29-Feb-2000 18:00:00,734.525190046587,869.759368955939,120001A
29-Feb-2000 19:00:00,731.207740195655,865.418192861632,120001A
29-Feb-2000 20:00:00,729.701346517416,863.175782216573,120001A
29-Feb-2000 21:00:00,726.106706131825,858.562076293255,120001A
29-Feb-2000 22:00:00,722.832583216915,854.297647165207,120001A
29-Feb-2000 23:00:00,718.575521499999,848.884991776307,120001A
01-Mar-2000 00:00:00,714.060308756428,843.145265500508,120001A
01-Mar-2000 01:00:00,713.390453222096,841.8326542834,120001A
01-Mar-2000 02:00:00,713.448847714769,841.451353559796,120001A
01-Mar-2000 03:00:00,708.48810072881,835.35029813766,120001A
01-Mar-2000 04:00:00,709.819219603606,836.452233480162,120001A
01-Mar-2000 05:00:00,709.236029171277,835.469734664728,120001A
01-Mar-2000 06:00:00,707.53221601791,833.235218199014,120001A
01-Mar-2000 07:00:00,713.395487326468,839.739785715344,120001A
01-Mar-2000 08:00:00,739.168273774108,869.548039528386,120001A
01-Mar-2000 09:00:00,743.676997547317,875.599369467429,120001A
01-Mar-2000 10:00:00,735.729308611262,867.186604476307,120001A
01-Mar-2000 11:00:00,733.914739511059,865.450585686229,120001A
01-Mar-2000 12:00:00,729.641385894084,860.767724901271,120001A
01-Mar-2000 13:00:00,729.934130256555,861.179398615656,120001A
01-Mar-2000 14:00:00,729.5232053445,860.7473691854,120001A
01-Mar-2000 15:00:00,728.819632010245,859.931801419118,120001A
01-Mar-2000 16:00:00,728.673209207369,859.739939545052,120001A
01-Mar-2000 17:00:00,728.52676612875,859.548050107173,120001A
01-Mar-2000 18:00:00,727.547123866418,858.368696389431,120001A
01-Mar-2000 19:00:00,726.279839377577,856.812587935686,120001A
01-Mar-2000 20:00:00,725.558148231134,855.867082273575,120001A
01-Mar-2000 21:00:00,724.835947700923,854.920888404944,120001A
01-Mar-2000 22:00:00,724.113228602668,853.973994232798,120001A
01-Mar-2000 23:00:00,723.390052488266,853.026471462375,120001A
02-Mar-2000 00:00:00,718.734536253318,847.578013428061,120001A
02-Mar-2000 01:00:00,715.444383299519,843.57642513221,120001A
02-Mar-2000 02:00:00,718.875271710764,847.217291319991,120001A
02-Mar-2000 03:00:00,718.177488404287,846.262427285038,120001A
02-Mar-2000 04:00:00,716.638185982356,844.324860741643,120001A
